,metric_idx,cv_scores,avg_score,cost,metric_names
44,"(0, 2, 4, 7, 10, 11, 14, 15, 19, 21, 22, 25, 26, 27, 29, 33, 37, 38, 40, 46, 47, 48, 49, 53, 54, 55, 57, 60, 63, 66, 68, 72, 73, 74, 76, 79, 85, 86, 90, 98, 99, 101, 102, 103)","{'test_sensitivity': 0.8404791601928853, 'test_sensitivity_std': 0.0, 'test_specificity': 0.9895613666273193, 'test_specificity_std': 0.0, 'test_coverage error': 9.677314814814816, 'test_coverage error_std': 0.0, 'test_subset accuracy': 0.6370370370370371, 'test_subset accuracy_std': 0.0, 'test_precision': 0.8389012775081172, 'test_precision_std': 0.0, 'fit_time': 89.71575474739075, 'score_time': 0.43003106117248535}",0.8389012775081172,53.0,"('SRV./: Free inodes in %', 'SRV./: Used space', 'SRV./boot: Space utilization', 'SRV.Available memory in %', 'SRV.CPU softirq time', 'SRV.CPU system time', 'SRV.Context switches per second', 'SRV.Free swap space', 'SRV.Interrupts per second', 'SRV.Load average (1m avg)', 'SRV.Load average (5m avg)', 'SRV.Number of running processes', 'GW1./: Free inodes in %', 'GW1./: Space utilization', 'GW1./boot: Free inodes in %', 'GW1.Available memory in %', 'GW1.CPU system time', 'GW1.CPU user time', 'GW1.Context switches per second', 'GW1.Load average (15m avg)', 'GW1.Load average (1m avg)', 'GW1.Load average (5m avg)', 'GW1.Memory utilization', 'GW11./: Space utilization', 'GW11./: Used space', 'GW11./boot: Free inodes in %', 'GW11./boot: Used space', 'GW11.CPU idle time', 'GW11.CPU system time', 'GW11.Context switches per second', 'GW11.Free swap space in %', 'GW11.Load average (15m avg)', 'GW11.Load average (1m avg)', 'GW11.Load average (5m avg)', 'GW11.Number of processes', 'GW111./: Space utilization', 'GW111.Available memory in %', 'GW111.CPU idle time', 'GW111.CPU user time', 'GW111.Load average (15m avg)', 'GW111.Load average (1m avg)', 'GW111.Memory utilization', 'GW111.Number of processes', 'GW111.Number of running processes')"
45,"(0, 2, 4, 7, 10, 11, 14, 15, 19, 21, 22, 25, 26, 27, 29, 33, 37, 38, 40, 46, 47, 48, 49, 53, 54, 55, 57, 60, 63, 66, 68, 72, 73, 74, 76, 79, 85, 86, 90, 95, 98, 99, 101, 102, 103)","{'test_sensitivity': 0.8458298119485848, 'test_sensitivity_std': 0.0, 'test_specificity': 0.9894333522525551, 'test_specificity_std': 0.0, 'test_coverage error': 9.462037037037037, 'test_coverage error_std': 0.0, 'test_subset accuracy': 0.6449074074074074, 'test_subset accuracy_std': 0.0, 'test_precision': 0.8367540962989298, 'test_precision_std': 0.0, 'fit_time': 44.927762269973755, 'score_time': 0.21665096282958984}",0.8367540962989298,55.0,"('SRV./: Free inodes in %', 'SRV./: Used space', 'SRV./boot: Space utilization', 'SRV.Available memory in %', 'SRV.CPU softirq time', 'SRV.CPU system time', 'SRV.Context switches per second', 'SRV.Free swap space', 'SRV.Interrupts per second', 'SRV.Load average (1m avg)', 'SRV.Load average (5m avg)', 'SRV.Number of running processes', 'GW1./: Free inodes in %', 'GW1./: Space utilization', 'GW1./boot: Free inodes in %', 'GW1.Available memory in %', 'GW1.CPU system time', 'GW1.CPU user time', 'GW1.Context switches per second', 'GW1.Load average (15m avg)', 'GW1.Load average (1m avg)', 'GW1.Load average (5m avg)', 'GW1.Memory utilization', 'GW11./: Space utilization', 'GW11./: Used space', 'GW11./boot: Free inodes in %', 'GW11./boot: Used space', 'GW11.CPU idle time', 'GW11.CPU system time', 'GW11.Context switches per second', 'GW11.Free swap space in %', 'GW11.Load average (15m avg)', 'GW11.Load average (1m avg)', 'GW11.Load average (5m avg)', 'GW11.Number of processes', 'GW111./: Space utilization', 'GW111.Available memory in %', 'GW111.CPU idle time', 'GW111.CPU user time', 'GW111.Interface enp0s8: Bits received', 'GW111.Load average (15m avg)', 'GW111.Load average (1m avg)', 'GW111.Memory utilization', 'GW111.Number of processes', 'GW111.Number of running processes')"
46,"(0, 2, 4, 7, 10, 11, 14, 15, 19, 21, 22, 25, 26, 27, 29, 33, 37, 38, 40, 46, 47, 48, 49, 50, 53, 54, 55, 57, 60, 63, 66, 68, 72, 73, 74, 76, 79, 85, 86, 90, 95, 98, 99, 101, 102, 103)","{'test_sensitivity': 0.8381946133013087, 'test_sensitivity_std': 0.0, 'test_specificity': 0.9894606801921667, 'test_specificity_std': 0.0, 'test_coverage error': 9.59212962962963, 'test_coverage error_std': 0.0, 'test_subset accuracy': 0.6421296296296296, 'test_subset accuracy_std': 0.0, 'test_precision': 0.836799838342428, 'test_precision_std': 0.0, 'fit_time': 62.761200189590454, 'score_time': 0.43454885482788086}",0.836799838342428,56.0,"('SRV./: Free inodes in %', 'SRV./: Used space', 'SRV./boot: Space utilization', 'SRV.Available memory in %', 'SRV.CPU softirq time', 'SRV.CPU system time', 'SRV.Context switches per second', 'SRV.Free swap space', 'SRV.Interrupts per second', 'SRV.Load average (1m avg)', 'SRV.Load average (5m avg)', 'SRV.Number of running processes', 'GW1./: Free inodes in %', 'GW1./: Space utilization', 'GW1./boot: Free inodes in %', 'GW1.Available memory in %', 'GW1.CPU system time', 'GW1.CPU user time', 'GW1.Context switches per second', 'GW1.Load average (15m avg)', 'GW1.Load average (1m avg)', 'GW1.Load average (5m avg)', 'GW1.Memory utilization', 'GW1.Number of processes', 'GW11./: Space utilization', 'GW11./: Used space', 'GW11./boot: Free inodes in %', 'GW11./boot: Used space', 'GW11.CPU idle time', 'GW11.CPU system time', 'GW11.Context switches per second', 'GW11.Free swap space in %', 'GW11.Load average (15m avg)', 'GW11.Load average (1m avg)', 'GW11.Load average (5m avg)', 'GW11.Number of processes', 'GW111./: Space utilization', 'GW111.Available memory in %', 'GW111.CPU idle time', 'GW111.CPU user time', 'GW111.Interface enp0s8: Bits received', 'GW111.Load average (15m avg)', 'GW111.Load average (1m avg)', 'GW111.Memory utilization', 'GW111.Number of processes', 'GW111.Number of running processes')"
47,"(0, 2, 4, 7, 10, 11, 14, 15, 19, 21, 22, 25, 26, 27, 29, 33, 37, 38, 40, 45, 46, 47, 48, 49, 50, 53, 54, 55, 57, 60, 63, 66, 68, 72, 73, 74, 76, 79, 85, 86, 90, 95, 98, 99, 101, 102, 103)","{'test_sensitivity': 0.8412955558358459, 'test_sensitivity_std': 0.0, 'test_specificity': 0.9896140891780391, 'test_specificity_std': 0.0, 'test_coverage error': 9.474074074074075, 'test_coverage error_std': 0.0, 'test_subset accuracy': 0.6564814814814814, 'test_subset accuracy_std': 0.0, 'test_precision': 0.8384617405777448, 'test_precision_std': 0.0, 'fit_time': 89.17228627204895, 'score_time': 0.44569945335388184}",0.8384617405777448,57.0,"('SRV./: Free inodes in %', 'SRV./: Used space', 'SRV./boot: Space utilization', 'SRV.Available memory in %', 'SRV.CPU softirq time', 'SRV.CPU system time', 'SRV.Context switches per second', 'SRV.Free swap space', 'SRV.Interrupts per second', 'SRV.Load average (1m avg)', 'SRV.Load average (5m avg)', 'SRV.Number of running processes', 'GW1./: Free inodes in %', 'GW1./: Space utilization', 'GW1./boot: Free inodes in %', 'GW1.Available memory in %', 'GW1.CPU system time', 'GW1.CPU user time', 'GW1.Context switches per second', 'GW1.Interrupts per second', 'GW1.Load average (15m avg)', 'GW1.Load average (1m avg)', 'GW1.Load average (5m avg)', 'GW1.Memory utilization', 'GW1.Number of processes', 'GW11./: Space utilization', 'GW11./: Used space', 'GW11./boot: Free inodes in %', 'GW11./boot: Used space', 'GW11.CPU idle time', 'GW11.CPU system time', 'GW11.Context switches per second', 'GW11.Free swap space in %', 'GW11.Load average (15m avg)', 'GW11.Load average (1m avg)', 'GW11.Load average (5m avg)', 'GW11.Number of processes', 'GW111./: Space utilization', 'GW111.Available memory in %', 'GW111.CPU idle time', 'GW111.CPU user time', 'GW111.Interface enp0s8: Bits received', 'GW111.Load average (15m avg)', 'GW111.Load average (1m avg)', 'GW111.Memory utilization', 'GW111.Number of processes', 'GW111.Number of running processes')"
48,"(0, 2, 4, 10, 11, 14, 15, 19, 21, 22, 25, 26, 27, 29, 33, 37, 38, 40, 42, 45, 46, 47, 48, 49, 50, 53, 54, 55, 57, 60, 62, 63, 66, 68, 72, 73, 74, 76, 79, 85, 86, 90, 95, 98, 99, 101, 102, 103)","{'test_sensitivity': 0.8422645376128414, 'test_sensitivity_std': 0.0, 'test_specificity': 0.9894759406662218, 'test_specificity_std': 0.0, 'test_coverage error': 9.618055555555555, 'test_coverage error_std': 0.0, 'test_subset accuracy': 0.6476851851851851, 'test_subset accuracy_std': 0.0, 'test_precision': 0.8368254834497402, 'test_precision_std': 0.0, 'fit_time': 64.58200883865356, 'score_time': 0.21166372299194336}",0.8368254834497402,59.0,"('SRV./: Free inodes in %', 'SRV./: Used space', 'SRV./boot: Space utilization', 'SRV.CPU softirq time', 'SRV.CPU system time', 'SRV.Context switches per second', 'SRV.Free swap space', 'SRV.Interrupts per second', 'SRV.Load average (1m avg)', 'SRV.Load average (5m avg)', 'SRV.Number of running processes', 'GW1./: Free inodes in %', 'GW1./: Space utilization', 'GW1./boot: Free inodes in %', 'GW1.Available memory in %', 'GW1.CPU system time', 'GW1.CPU user time', 'GW1.Context switches per second', 'GW1.Free swap space in %', 'GW1.Interrupts per second', 'GW1.Load average (15m avg)', 'GW1.Load average (1m avg)', 'GW1.Load average (5m avg)', 'GW1.Memory utilization', 'GW1.Number of processes', 'GW11./: Space utilization', 'GW11./: Used space', 'GW11./boot: Free inodes in %', 'GW11./boot: Used space', 'GW11.CPU idle time', 'GW11.CPU softirq time', 'GW11.CPU system time', 'GW11.Context switches per second', 'GW11.Free swap space in %', 'GW11.Load average (15m avg)', 'GW11.Load average (1m avg)', 'GW11.Load average (5m avg)', 'GW11.Number of processes', 'GW111./: Space utilization', 'GW111.Available memory in %', 'GW111.CPU idle time', 'GW111.CPU user time', 'GW111.Interface enp0s8: Bits received', 'GW111.Load average (15m avg)', 'GW111.Load average (1m avg)', 'GW111.Memory utilization', 'GW111.Number of processes', 'GW111.Number of running processes')"
49,"(0, 2, 4, 10, 11, 13, 14, 15, 19, 21, 22, 25, 26, 27, 29, 33, 37, 38, 40, 42, 45, 46, 47, 48, 49, 50, 53, 54, 55, 57, 60, 62, 63, 66, 68, 72, 73, 74, 76, 79, 85, 86, 90, 95, 98, 99, 101, 102, 103)","{'test_sensitivity': 0.8475827016798496, 'test_sensitivity_std': 0.0, 'test_specificity': 0.9892902117219008, 'test_specificity_std': 0.0, 'test_coverage error': 9.472685185185185, 'test_coverage error_std': 0.0, 'test_subset accuracy': 0.6486111111111111, 'test_subset accuracy_std': 0.0, 'test_precision': 0.8371283268258705, 'test_precision_std': 0.0, 'fit_time': 61.847928524017334, 'score_time': 0.42705869674682617}",0.8371283268258705,59.5,"('SRV./: Free inodes in %', 'SRV./: Used space', 'SRV./boot: Space utilization', 'SRV.CPU softirq time', 'SRV.CPU system time', 'SRV.CPU utilization', 'SRV.Context switches per second', 'SRV.Free swap space', 'SRV.Interrupts per second', 'SRV.Load average (1m avg)', 'SRV.Load average (5m avg)', 'SRV.Number of running processes', 'GW1./: Free inodes in %', 'GW1./: Space utilization', 'GW1./boot: Free inodes in %', 'GW1.Available memory in %', 'GW1.CPU system time', 'GW1.CPU user time', 'GW1.Context switches per second', 'GW1.Free swap space in %', 'GW1.Interrupts per second', 'GW1.Load average (15m avg)', 'GW1.Load average (1m avg)', 'GW1.Load average (5m avg)', 'GW1.Memory utilization', 'GW1.Number of processes', 'GW11./: Space utilization', 'GW11./: Used space', 'GW11./boot: Free inodes in %', 'GW11./boot: Used space', 'GW11.CPU idle time', 'GW11.CPU softirq time', 'GW11.CPU system time', 'GW11.Context switches per second', 'GW11.Free swap space in %', 'GW11.Load average (15m avg)', 'GW11.Load average (1m avg)', 'GW11.Load average (5m avg)', 'GW11.Number of processes', 'GW111./: Space utilization', 'GW111.Available memory in %', 'GW111.CPU idle time', 'GW111.CPU user time', 'GW111.Interface enp0s8: Bits received', 'GW111.Load average (15m avg)', 'GW111.Load average (1m avg)', 'GW111.Memory utilization', 'GW111.Number of processes', 'GW111.Number of running processes')"
50,"(0, 2, 4, 10, 11, 13, 14, 15, 19, 21, 22, 25, 26, 27, 29, 33, 34, 37, 38, 40, 42, 45, 46, 47, 48, 49, 50, 53, 54, 55, 57, 60, 62, 63, 66, 68, 72, 73, 74, 76, 79, 85, 86, 90, 95, 98, 99, 101, 102, 103)","{'test_sensitivity': 0.843395514562469, 'test_sensitivity_std': 0.0, 'test_specificity': 0.9895369773622243, 'test_specificity_std': 0.0, 'test_coverage error': 9.543981481481481, 'test_coverage error_std': 0.0, 'test_subset accuracy': 0.6546296296296297, 'test_subset accuracy_std': 0.0, 'test_precision': 0.8380785533277368, 'test_precision_std': 0.0, 'fit_time': 77.14838600158691, 'score_time': 0.46495938301086426}",0.8380785533277368,60.5,"('SRV./: Free inodes in %', 'SRV./: Used space', 'SRV./boot: Space utilization', 'SRV.CPU softirq time', 'SRV.CPU system time', 'SRV.CPU utilization', 'SRV.Context switches per second', 'SRV.Free swap space', 'SRV.Interrupts per second', 'SRV.Load average (1m avg)', 'SRV.Load average (5m avg)', 'SRV.Number of running processes', 'GW1./: Free inodes in %', 'GW1./: Space utilization', 'GW1./boot: Free inodes in %', 'GW1.Available memory in %', 'GW1.CPU idle time', 'GW1.CPU system time', 'GW1.CPU user time', 'GW1.Context switches per second', 'GW1.Free swap space in %', 'GW1.Interrupts per second', 'GW1.Load average (15m avg)', 'GW1.Load average (1m avg)', 'GW1.Load average (5m avg)', 'GW1.Memory utilization', 'GW1.Number of processes', 'GW11./: Space utilization', 'GW11./: Used space', 'GW11./boot: Free inodes in %', 'GW11./boot: Used space', 'GW11.CPU idle time', 'GW11.CPU softirq time', 'GW11.CPU system time', 'GW11.Context switches per second', 'GW11.Free swap space in %', 'GW11.Load average (15m avg)', 'GW11.Load average (1m avg)', 'GW11.Load average (5m avg)', 'GW11.Number of processes', 'GW111./: Space utilization', 'GW111.Available memory in %', 'GW111.CPU idle time', 'GW111.CPU user time', 'GW111.Interface enp0s8: Bits received', 'GW111.Load average (15m avg)', 'GW111.Load average (1m avg)', 'GW111.Memory utilization', 'GW111.Number of processes', 'GW111.Number of running processes')"
51,"(0, 2, 4, 10, 11, 13, 14, 15, 19, 21, 22, 25, 26, 27, 29, 33, 34, 37, 38, 40, 42, 45, 46, 47, 48, 49, 50, 53, 54, 55, 57, 60, 62, 63, 66, 68, 72, 73, 74, 76, 79, 80, 85, 86, 90, 95, 98, 99, 101, 102, 103)","{'test_sensitivity': 0.8438439624468496, 'test_sensitivity_std': 0.0, 'test_specificity': 0.9894761143177958, 'test_specificity_std': 0.0, 'test_coverage error': 9.80787037037037, 'test_coverage error_std': 0.0, 'test_subset accuracy': 0.6375, 'test_subset accuracy_std': 0.0, 'test_precision': 0.8384728587179875, 'test_precision_std': 0.0, 'fit_time': 88.7292628288269, 'score_time': 0.4358522891998291}",0.8384728587179875,62.5,"('SRV./: Free inodes in %', 'SRV./: Used space', 'SRV./boot: Space utilization', 'SRV.CPU softirq time', 'SRV.CPU system time', 'SRV.CPU utilization', 'SRV.Context switches per second', 'SRV.Free swap space', 'SRV.Interrupts per second', 'SRV.Load average (1m avg)', 'SRV.Load average (5m avg)', 'SRV.Number of running processes', 'GW1./: Free inodes in %', 'GW1./: Space utilization', 'GW1./boot: Free inodes in %', 'GW1.Available memory in %', 'GW1.CPU idle time', 'GW1.CPU system time', 'GW1.CPU user time', 'GW1.Context switches per second', 'GW1.Free swap space in %', 'GW1.Interrupts per second', 'GW1.Load average (15m avg)', 'GW1.Load average (1m avg)', 'GW1.Load average (5m avg)', 'GW1.Memory utilization', 'GW1.Number of processes', 'GW11./: Space utilization', 'GW11./: Used space', 'GW11./boot: Free inodes in %', 'GW11./boot: Used space', 'GW11.CPU idle time', 'GW11.CPU softirq time', 'GW11.CPU system time', 'GW11.Context switches per second', 'GW11.Free swap space in %', 'GW11.Load average (15m avg)', 'GW11.Load average (1m avg)', 'GW11.Load average (5m avg)', 'GW11.Number of processes', 'GW111./: Space utilization', 'GW111./: Used space', 'GW111.Available memory in %', 'GW111.CPU idle time', 'GW111.CPU user time', 'GW111.Interface enp0s8: Bits received', 'GW111.Load average (15m avg)', 'GW111.Load average (1m avg)', 'GW111.Memory utilization', 'GW111.Number of processes', 'GW111.Number of running processes')"
52,"(0, 2, 4, 10, 11, 13, 14, 15, 19, 21, 22, 25, 26, 27, 29, 33, 34, 37, 38, 40, 42, 45, 46, 47, 48, 49, 50, 53, 54, 55, 57, 60, 62, 63, 66, 68, 72, 73, 74, 75, 76, 79, 80, 85, 86, 90, 95, 98, 99, 101, 102, 103)","{'test_sensitivity': 0.8524515187466724, 'test_sensitivity_std': 0.0, 'test_specificity': 0.9895615695440918, 'test_specificity_std': 0.0, 'test_coverage error': 9.179166666666667, 'test_coverage error_std': 0.0, 'test_subset accuracy': 0.6513888888888889, 'test_subset accuracy_std': 0.0, 'test_precision': 0.83870068431943, 'test_precision_std': 0.0, 'fit_time': 65.40193271636963, 'score_time': 0.42954087257385254}",0.83870068431943,64.0,"('SRV./: Free inodes in %', 'SRV./: Used space', 'SRV./boot: Space utilization', 'SRV.CPU softirq time', 'SRV.CPU system time', 'SRV.CPU utilization', 'SRV.Context switches per second', 'SRV.Free swap space', 'SRV.Interrupts per second', 'SRV.Load average (1m avg)', 'SRV.Load average (5m avg)', 'SRV.Number of running processes', 'GW1./: Free inodes in %', 'GW1./: Space utilization', 'GW1./boot: Free inodes in %', 'GW1.Available memory in %', 'GW1.CPU idle time', 'GW1.CPU system time', 'GW1.CPU user time', 'GW1.Context switches per second', 'GW1.Free swap space in %', 'GW1.Interrupts per second', 'GW1.Load average (15m avg)', 'GW1.Load average (1m avg)', 'GW1.Load average (5m avg)', 'GW1.Memory utilization', 'GW1.Number of processes', 'GW11./: Space utilization', 'GW11./: Used space', 'GW11./boot: Free inodes in %', 'GW11./boot: Used space', 'GW11.CPU idle time', 'GW11.CPU softirq time', 'GW11.CPU system time', 'GW11.Context switches per second', 'GW11.Free swap space in %', 'GW11.Load average (15m avg)', 'GW11.Load average (1m avg)', 'GW11.Load average (5m avg)', 'GW11.Memory utilization', 'GW11.Number of processes', 'GW111./: Space utilization', 'GW111./: Used space', 'GW111.Available memory in %', 'GW111.CPU idle time', 'GW111.CPU user time', 'GW111.Interface enp0s8: Bits received', 'GW111.Load average (15m avg)', 'GW111.Load average (1m avg)', 'GW111.Memory utilization', 'GW111.Number of processes', 'GW111.Number of running processes')"
53,"(0, 2, 4, 8, 10, 11, 13, 14, 15, 19, 21, 22, 25, 26, 27, 29, 32, 33, 34, 37, 38, 40, 42, 45, 46, 47, 48, 49, 50, 53, 54, 55, 57, 60, 62, 63, 66, 68, 72, 73, 74, 75, 76, 80, 85, 86, 90, 95, 98, 99, 101, 102, 103)","{'test_sensitivity': 0.8454916057599672, 'test_sensitivity_std': 0.0, 'test_specificity': 0.9892333308782756, 'test_specificity_std': 0.0, 'test_coverage error': 9.53425925925926, 'test_coverage error_std': 0.0, 'test_subset accuracy': 0.6388888888888888, 'test_subset accuracy_std': 0.0, 'test_precision': 0.8338196680207568, 'test_precision_std': 0.0, 'fit_time': 57.43795347213745, 'score_time': 0.4420449733734131}",0.8338196680207568,63.5,"('SRV./: Free inodes in %', 'SRV./: Used space', 'SRV./boot: Space utilization', 'SRV.CPU idle time', 'SRV.CPU softirq time', 'SRV.CPU system time', 'SRV.CPU utilization', 'SRV.Context switches per second', 'SRV.Free swap space', 'SRV.Interrupts per second', 'SRV.Load average (1m avg)', 'SRV.Load average (5m avg)', 'SRV.Number of running processes', 'GW1./: Free inodes in %', 'GW1./: Space utilization', 'GW1./boot: Free inodes in %', 'GW1.Available memory', 'GW1.Available memory in %', 'GW1.CPU idle time', 'GW1.CPU system time', 'GW1.CPU user time', 'GW1.Context switches per second', 'GW1.Free swap space in %', 'GW1.Interrupts per second', 'GW1.Load average (15m avg)', 'GW1.Load average (1m avg)', 'GW1.Load average (5m avg)', 'GW1.Memory utilization', 'GW1.Number of processes', 'GW11./: Space utilization', 'GW11./: Used space', 'GW11./boot: Free inodes in %', 'GW11./boot: Used space', 'GW11.CPU idle time', 'GW11.CPU softirq time', 'GW11.CPU system time', 'GW11.Context switches per second', 'GW11.Free swap space in %', 'GW11.Load average (15m avg)', 'GW11.Load average (1m avg)', 'GW11.Load average (5m avg)', 'GW11.Memory utilization', 'GW11.Number of processes', 'GW111./: Used space', 'GW111.Available memory in %', 'GW111.CPU idle time', 'GW111.CPU user time', 'GW111.Interface enp0s8: Bits received', 'GW111.Load average (15m avg)', 'GW111.Load average (1m avg)', 'GW111.Memory utilization', 'GW111.Number of processes', 'GW111.Number of running processes')"
54,"(0, 2, 4, 8, 10, 11, 13, 14, 15, 19, 21, 22, 25, 26, 27, 29, 32, 33, 34, 37, 38, 40, 42, 45, 46, 47, 48, 49, 50, 53, 54, 55, 57, 60, 62, 63, 66, 68, 70, 72, 73, 74, 75, 76, 79, 85, 86, 90, 95, 98, 99, 101, 102, 103)","{'test_sensitivity': 0.8417428999215119, 'test_sensitivity_std': 0.0, 'test_specificity': 0.9893720859882991, 'test_specificity_std': 0.0, 'test_coverage error': 9.306481481481482, 'test_coverage error_std': 0.0, 'test_subset accuracy': 0.6523148148148148, 'test_subset accuracy_std': 0.0, 'test_precision': 0.8350938109980415, 'test_precision_std': 0.0, 'fit_time': 68.98572134971619, 'score_time': 0.4474184513092041}",0.8350938109980415,65.0,"('SRV./: Free inodes in %', 'SRV./: Used space', 'SRV./boot: Space utilization', 'SRV.CPU idle time', 'SRV.CPU softirq time', 'SRV.CPU system time', 'SRV.CPU utilization', 'SRV.Context switches per second', 'SRV.Free swap space', 'SRV.Interrupts per second', 'SRV.Load average (1m avg)', 'SRV.Load average (5m avg)', 'SRV.Number of running processes', 'GW1./: Free inodes in %', 'GW1./: Space utilization', 'GW1./boot: Free inodes in %', 'GW1.Available memory', 'GW1.Available memory in %', 'GW1.CPU idle time', 'GW1.CPU system time', 'GW1.CPU user time', 'GW1.Context switches per second', 'GW1.Free swap space in %', 'GW1.Interrupts per second', 'GW1.Load average (15m avg)', 'GW1.Load average (1m avg)', 'GW1.Load average (5m avg)', 'GW1.Memory utilization', 'GW1.Number of processes', 'GW11./: Space utilization', 'GW11./: Used space', 'GW11./boot: Free inodes in %', 'GW11./boot: Used space', 'GW11.CPU idle time', 'GW11.CPU softirq time', 'GW11.CPU system time', 'GW11.Context switches per second', 'GW11.Free swap space in %', 'GW11.Interface enp0s8: Bits sent', 'GW11.Load average (15m avg)', 'GW11.Load average (1m avg)', 'GW11.Load average (5m avg)', 'GW11.Memory utilization', 'GW11.Number of processes', 'GW111./: Space utilization', 'GW111.Available memory in %', 'GW111.CPU idle time', 'GW111.CPU user time', 'GW111.Interface enp0s8: Bits received', 'GW111.Load average (15m avg)', 'GW111.Load average (1m avg)', 'GW111.Memory utilization', 'GW111.Number of processes', 'GW111.Number of running processes')"
55,"(0, 2, 4, 8, 9, 10, 11, 13, 15, 19, 21, 22, 25, 26, 27, 29, 32, 33, 34, 37, 38, 40, 42, 45, 46, 47, 48, 49, 50, 53, 54, 55, 57, 60, 62, 63, 66, 68, 70, 72, 73, 74, 75, 76, 79, 80, 85, 86, 90, 95, 98, 99, 101, 102, 103)","{'test_sensitivity': 0.8337793593548841, 'test_sensitivity_std': 0.0, 'test_specificity': 0.989343864637365, 'test_specificity_std': 0.0, 'test_coverage error': 9.895833333333334, 'test_coverage error_std': 0.0, 'test_subset accuracy': 0.6310185185185185, 'test_subset accuracy_std': 0.0, 'test_precision': 0.8331691313959031, 'test_precision_std': 0.0, 'fit_time': 54.87134313583374, 'score_time': 0.2147970199584961}",0.8331691313959031,67.0,"('SRV./: Free inodes in %', 'SRV./: Used space', 'SRV./boot: Space utilization', 'SRV.CPU idle time', 'SRV.CPU iowait time', 'SRV.CPU softirq time', 'SRV.CPU system time', 'SRV.CPU utilization', 'SRV.Free swap space', 'SRV.Interrupts per second', 'SRV.Load average (1m avg)', 'SRV.Load average (5m avg)', 'SRV.Number of running processes', 'GW1./: Free inodes in %', 'GW1./: Space utilization', 'GW1./boot: Free inodes in %', 'GW1.Available memory', 'GW1.Available memory in %', 'GW1.CPU idle time', 'GW1.CPU system time', 'GW1.CPU user time', 'GW1.Context switches per second', 'GW1.Free swap space in %', 'GW1.Interrupts per second', 'GW1.Load average (15m avg)', 'GW1.Load average (1m avg)', 'GW1.Load average (5m avg)', 'GW1.Memory utilization', 'GW1.Number of processes', 'GW11./: Space utilization', 'GW11./: Used space', 'GW11./boot: Free inodes in %', 'GW11./boot: Used space', 'GW11.CPU idle time', 'GW11.CPU softirq time', 'GW11.CPU system time', 'GW11.Context switches per second', 'GW11.Free swap space in %', 'GW11.Interface enp0s8: Bits sent', 'GW11.Load average (15m avg)', 'GW11.Load average (1m avg)', 'GW11.Load average (5m avg)', 'GW11.Memory utilization', 'GW11.Number of processes', 'GW111./: Space utilization', 'GW111./: Used space', 'GW111.Available memory in %', 'GW111.CPU idle time', 'GW111.CPU user time', 'GW111.Interface enp0s8: Bits received', 'GW111.Load average (15m avg)', 'GW111.Load average (1m avg)', 'GW111.Memory utilization', 'GW111.Number of processes', 'GW111.Number of running processes')"
56,"(0, 2, 4, 8, 9, 10, 11, 13, 15, 16, 19, 21, 22, 25, 26, 27, 29, 32, 33, 34, 37, 38, 40, 42, 45, 46, 47, 48, 49, 50, 53, 54, 55, 57, 60, 62, 63, 66, 68, 70, 72, 73, 74, 75, 76, 79, 80, 85, 86, 90, 95, 98, 99, 101, 102, 103)","{'test_sensitivity': 0.8309827924462088, 'test_sensitivity_std': 0.0, 'test_specificity': 0.9895159270313152, 'test_specificity_std': 0.0, 'test_coverage error': 9.7875, 'test_coverage error_std': 0.0, 'test_subset accuracy': 0.6365740740740741, 'test_subset accuracy_std': 0.0, 'test_precision': 0.8344827647104098, 'test_precision_std': 0.0, 'fit_time': 62.07611417770386, 'score_time': 0.43572115898132324}",0.8344827647104098,67.5,"('SRV./: Free inodes in %', 'SRV./: Used space', 'SRV./boot: Space utilization', 'SRV.CPU idle time', 'SRV.CPU iowait time', 'SRV.CPU softirq time', 'SRV.CPU system time', 'SRV.CPU utilization', 'SRV.Free swap space', 'SRV.Free swap space in %', 'SRV.Interrupts per second', 'SRV.Load average (1m avg)', 'SRV.Load average (5m avg)', 'SRV.Number of running processes', 'GW1./: Free inodes in %', 'GW1./: Space utilization', 'GW1./boot: Free inodes in %', 'GW1.Available memory', 'GW1.Available memory in %', 'GW1.CPU idle time', 'GW1.CPU system time', 'GW1.CPU user time', 'GW1.Context switches per second', 'GW1.Free swap space in %', 'GW1.Interrupts per second', 'GW1.Load average (15m avg)', 'GW1.Load average (1m avg)', 'GW1.Load average (5m avg)', 'GW1.Memory utilization', 'GW1.Number of processes', 'GW11./: Space utilization', 'GW11./: Used space', 'GW11./boot: Free inodes in %', 'GW11./boot: Used space', 'GW11.CPU idle time', 'GW11.CPU softirq time', 'GW11.CPU system time', 'GW11.Context switches per second', 'GW11.Free swap space in %', 'GW11.Interface enp0s8: Bits sent', 'GW11.Load average (15m avg)', 'GW11.Load average (1m avg)', 'GW11.Load average (5m avg)', 'GW11.Memory utilization', 'GW11.Number of processes', 'GW111./: Space utilization', 'GW111./: Used space', 'GW111.Available memory in %', 'GW111.CPU idle time', 'GW111.CPU user time', 'GW111.Interface enp0s8: Bits received', 'GW111.Load average (15m avg)', 'GW111.Load average (1m avg)', 'GW111.Memory utilization', 'GW111.Number of processes', 'GW111.Number of running processes')"
