,metric_idx,cv_scores,avg_score,cost,metric_names
11,"(0, 22, 45, 46, 48, 49, 63, 72, 86, 90, 98)","{'test_sensitivity': 0.7781034729843899, 'test_sensitivity_std': 0.0, 'test_specificity': 0.9846943270833228, 'test_specificity_std': 0.0, 'test_coverage error': 11.462037037037037, 'test_coverage error_std': 0.0, 'test_subset accuracy': 0.5472222222222223, 'test_subset accuracy_std': 0.0, 'test_precision': 0.7695407026439257, 'test_precision_std': 0.0, 'fit_time': 87.58076667785645, 'score_time': 0.42664170265197754}",0.7695407026439257,14.0,"('SRV./: Free inodes in %', 'SRV.Load average (5m avg)', 'GW1.Interrupts per second', 'GW1.Load average (15m avg)', 'GW1.Load average (5m avg)', 'GW1.Memory utilization', 'GW11.CPU system time', 'GW11.Load average (15m avg)', 'GW111.CPU idle time', 'GW111.CPU user time', 'GW111.Load average (15m avg)')"
12,"(0, 22, 25, 45, 46, 48, 49, 63, 72, 86, 90, 98)","{'test_sensitivity': 0.7932302590399829, 'test_sensitivity_std': 0.0, 'test_specificity': 0.9849558939225107, 'test_specificity_std': 0.0, 'test_coverage error': 11.277314814814815, 'test_coverage error_std': 0.0, 'test_subset accuracy': 0.5592592592592592, 'test_subset accuracy_std': 0.0, 'test_precision': 0.7770112417019216, 'test_precision_std': 0.0, 'fit_time': 88.43037700653076, 'score_time': 0.39372801780700684}",0.7770112417019216,14.5,"('SRV./: Free inodes in %', 'SRV.Load average (5m avg)', 'SRV.Number of running processes', 'GW1.Interrupts per second', 'GW1.Load average (15m avg)', 'GW1.Load average (5m avg)', 'GW1.Memory utilization', 'GW11.CPU system time', 'GW11.Load average (15m avg)', 'GW111.CPU idle time', 'GW111.CPU user time', 'GW111.Load average (15m avg)')"
13,"(0, 22, 25, 27, 45, 46, 48, 49, 63, 72, 86, 90, 98)","{'test_sensitivity': 0.7821755891729264, 'test_sensitivity_std': 0.0, 'test_specificity': 0.985744998376428, 'test_specificity_std': 0.0, 'test_coverage error': 11.303703703703704, 'test_coverage error_std': 0.0, 'test_subset accuracy': 0.5634259259259259, 'test_subset accuracy_std': 0.0, 'test_precision': 0.7884688838748826, 'test_precision_std': 0.0, 'fit_time': 87.64021825790405, 'score_time': 0.4289736747741699}",0.7884688838748826,15.5,"('SRV./: Free inodes in %', 'SRV.Load average (5m avg)', 'SRV.Number of running processes', 'GW1./: Space utilization', 'GW1.Interrupts per second', 'GW1.Load average (15m avg)', 'GW1.Load average (5m avg)', 'GW1.Memory utilization', 'GW11.CPU system time', 'GW11.Load average (15m avg)', 'GW111.CPU idle time', 'GW111.CPU user time', 'GW111.Load average (15m avg)')"
14,"(0, 11, 22, 25, 27, 45, 46, 48, 49, 63, 72, 86, 90, 98)","{'test_sensitivity': 0.8018885724874655, 'test_sensitivity_std': 0.0, 'test_specificity': 0.9859087791846549, 'test_specificity_std': 0.0, 'test_coverage error': 10.927777777777777, 'test_coverage error_std': 0.0, 'test_subset accuracy': 0.5777777777777777, 'test_subset accuracy_std': 0.0, 'test_precision': 0.7897455731790498, 'test_precision_std': 0.0, 'fit_time': 87.86281514167786, 'score_time': 0.4130680561065674}",0.7897455731790498,16.0,"('SRV./: Free inodes in %', 'SRV.CPU system time', 'SRV.Load average (5m avg)', 'SRV.Number of running processes', 'GW1./: Space utilization', 'GW1.Interrupts per second', 'GW1.Load average (15m avg)', 'GW1.Load average (5m avg)', 'GW1.Memory utilization', 'GW11.CPU system time', 'GW11.Load average (15m avg)', 'GW111.CPU idle time', 'GW111.CPU user time', 'GW111.Load average (15m avg)')"
15,"(0, 11, 22, 25, 27, 45, 46, 48, 49, 63, 66, 72, 86, 90, 98)","{'test_sensitivity': 0.8005613059070615, 'test_sensitivity_std': 0.0, 'test_specificity': 0.9868737940592589, 'test_specificity_std': 0.0, 'test_coverage error': 10.783333333333333, 'test_coverage error_std': 0.0, 'test_subset accuracy': 0.5990740740740741, 'test_subset accuracy_std': 0.0, 'test_precision': 0.8008484834727183, 'test_precision_std': 0.0, 'fit_time': 87.79106760025024, 'score_time': 0.43027186393737793}",0.8008484834727183,17.5,"('SRV./: Free inodes in %', 'SRV.CPU system time', 'SRV.Load average (5m avg)', 'SRV.Number of running processes', 'GW1./: Space utilization', 'GW1.Interrupts per second', 'GW1.Load average (15m avg)', 'GW1.Load average (5m avg)', 'GW1.Memory utilization', 'GW11.CPU system time', 'GW11.Context switches per second', 'GW11.Load average (15m avg)', 'GW111.CPU idle time', 'GW111.CPU user time', 'GW111.Load average (15m avg)')"
16,"(0, 11, 22, 25, 27, 45, 46, 48, 49, 63, 66, 72, 73, 86, 90, 98)","{'test_sensitivity': 0.8109307252498243, 'test_sensitivity_std': 0.0, 'test_specificity': 0.9867132023335035, 'test_specificity_std': 0.0, 'test_coverage error': 10.521296296296295, 'test_coverage error_std': 0.0, 'test_subset accuracy': 0.6037037037037037, 'test_subset accuracy_std': 0.0, 'test_precision': 0.8006220836266109, 'test_precision_std': 0.0, 'fit_time': 88.68878602981567, 'score_time': 0.4322509765625}",0.8006220836266109,19.0,"('SRV./: Free inodes in %', 'SRV.CPU system time', 'SRV.Load average (5m avg)', 'SRV.Number of running processes', 'GW1./: Space utilization', 'GW1.Interrupts per second', 'GW1.Load average (15m avg)', 'GW1.Load average (5m avg)', 'GW1.Memory utilization', 'GW11.CPU system time', 'GW11.Context switches per second', 'GW11.Load average (15m avg)', 'GW11.Load average (1m avg)', 'GW111.CPU idle time', 'GW111.CPU user time', 'GW111.Load average (15m avg)')"
17,"(0, 11, 21, 22, 25, 27, 45, 48, 49, 60, 63, 66, 72, 73, 86, 90, 98)","{'test_sensitivity': 0.8168839879702054, 'test_sensitivity_std': 0.0, 'test_specificity': 0.9878792869117202, 'test_specificity_std': 0.0, 'test_coverage error': 10.556481481481482, 'test_coverage error_std': 0.0, 'test_subset accuracy': 0.6064814814814815, 'test_subset accuracy_std': 0.0, 'test_precision': 0.8156643961149324, 'test_precision_std': 0.0, 'fit_time': 87.65627861022949, 'score_time': 0.40004515647888184}",0.8156643961149324,20.0,"('SRV./: Free inodes in %', 'SRV.CPU system time', 'SRV.Load average (1m avg)', 'SRV.Load average (5m avg)', 'SRV.Number of running processes', 'GW1./: Space utilization', 'GW1.Interrupts per second', 'GW1.Load average (5m avg)', 'GW1.Memory utilization', 'GW11.CPU idle time', 'GW11.CPU system time', 'GW11.Context switches per second', 'GW11.Load average (15m avg)', 'GW11.Load average (1m avg)', 'GW111.CPU idle time', 'GW111.CPU user time', 'GW111.Load average (15m avg)')"
18,"(0, 11, 21, 22, 25, 27, 45, 46, 48, 49, 60, 63, 66, 72, 73, 86, 90, 98)","{'test_sensitivity': 0.8173372059560702, 'test_sensitivity_std': 0.0, 'test_specificity': 0.9876574976387833, 'test_specificity_std': 0.0, 'test_coverage error': 10.450925925925926, 'test_coverage error_std': 0.0, 'test_subset accuracy': 0.6037037037037037, 'test_subset accuracy_std': 0.0, 'test_precision': 0.8133838582246415, 'test_precision_std': 0.0, 'fit_time': 87.94521617889404, 'score_time': 0.4371356964111328}",0.8133838582246415,21.0,"('SRV./: Free inodes in %', 'SRV.CPU system time', 'SRV.Load average (1m avg)', 'SRV.Load average (5m avg)', 'SRV.Number of running processes', 'GW1./: Space utilization', 'GW1.Interrupts per second', 'GW1.Load average (15m avg)', 'GW1.Load average (5m avg)', 'GW1.Memory utilization', 'GW11.CPU idle time', 'GW11.CPU system time', 'GW11.Context switches per second', 'GW11.Load average (15m avg)', 'GW11.Load average (1m avg)', 'GW111.CPU idle time', 'GW111.CPU user time', 'GW111.Load average (15m avg)')"
19,"(0, 11, 21, 22, 24, 25, 27, 37, 45, 46, 48, 60, 63, 66, 72, 73, 86, 90, 98)","{'test_sensitivity': 0.8192373274454234, 'test_sensitivity_std': 0.0, 'test_specificity': 0.9881657684606008, 'test_specificity_std': 0.0, 'test_coverage error': 10.35138888888889, 'test_coverage error_std': 0.0, 'test_subset accuracy': 0.6199074074074075, 'test_subset accuracy_std': 0.0, 'test_precision': 0.8162010504015031, 'test_precision_std': 0.0, 'fit_time': 87.9649453163147, 'score_time': 0.43492865562438965}",0.8162010504015031,21.5,"('SRV./: Free inodes in %', 'SRV.CPU system time', 'SRV.Load average (1m avg)', 'SRV.Load average (5m avg)', 'SRV.Number of processes', 'SRV.Number of running processes', 'GW1./: Space utilization', 'GW1.CPU system time', 'GW1.Interrupts per second', 'GW1.Load average (15m avg)', 'GW1.Load average (5m avg)', 'GW11.CPU idle time', 'GW11.CPU system time', 'GW11.Context switches per second', 'GW11.Load average (15m avg)', 'GW11.Load average (1m avg)', 'GW111.CPU idle time', 'GW111.CPU user time', 'GW111.Load average (15m avg)')"
20,"(0, 11, 21, 22, 24, 25, 27, 37, 40, 45, 46, 48, 60, 63, 66, 72, 73, 86, 90, 98)","{'test_sensitivity': 0.822746094197764, 'test_sensitivity_std': 0.0, 'test_specificity': 0.9879085896199973, 'test_specificity_std': 0.0, 'test_coverage error': 10.232870370370371, 'test_coverage error_std': 0.0, 'test_subset accuracy': 0.6106481481481482, 'test_subset accuracy_std': 0.0, 'test_precision': 0.8171545356135614, 'test_precision_std': 0.0, 'fit_time': 76.951092004776, 'score_time': 0.43135929107666016}",0.8171545356135614,22.5,"('SRV./: Free inodes in %', 'SRV.CPU system time', 'SRV.Load average (1m avg)', 'SRV.Load average (5m avg)', 'SRV.Number of processes', 'SRV.Number of running processes', 'GW1./: Space utilization', 'GW1.CPU system time', 'GW1.Context switches per second', 'GW1.Interrupts per second', 'GW1.Load average (15m avg)', 'GW1.Load average (5m avg)', 'GW11.CPU idle time', 'GW11.CPU system time', 'GW11.Context switches per second', 'GW11.Load average (15m avg)', 'GW11.Load average (1m avg)', 'GW111.CPU idle time', 'GW111.CPU user time', 'GW111.Load average (15m avg)')"
